FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'build-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 20, 'match': 'attachments/deploy-api/api-model.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 103, 'match': 'attachments/pluggable-widgets-8/widget-property-types/string-multiline.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/string-multiline.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/string-multiline.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 130, 'match': 'attachments/pluggable-widgets-8/widget-property-types/boolean.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/boolean.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/boolean.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 157, 'match': 'attachments/pluggable-widgets-8/widget-property-types/integer.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/integer.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/integer.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 184, 'match': 'attachments/pluggable-widgets-8/widget-property-types/decimal.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/decimal.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/decimal.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 226, 'match': 'attachments/pluggable-widgets-8/widget-property-types/enumeration.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/enumeration.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/enumeration.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 258, 'match': 'attachments/pluggable-widgets-8/widget-property-types/icon.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/icon.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/icon.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 296, 'match': 'attachments/pluggable-widgets-8/widget-property-types/image.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/image.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/image.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 336, 'match': 'attachments/pluggable-widgets-8/widget-property-types/widgets.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/widgets.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/widgets.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 351, 'match': 'attachments/pluggable-widgets-8/widget-property-types/widgets_with_ds.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/widgets_with_ds.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/widgets_with_ds.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 403, 'match': 'attachments/pluggable-widgets-8/widget-property-types/expression.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/expression.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/expression.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 451, 'match': 'attachments/pluggable-widgets-8/widget-property-types/text.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/text.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/text.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 486, 'match': 'attachments/pluggable-widgets-8/widget-property-types/action.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/action.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/action.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 551, 'match': 'attachments/pluggable-widgets-8/widget-property-types/xml-element.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/xml-element.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/xml-element.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 595, 'match': 'attachments/pluggable-widgets-8/widget-property-types/object.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/object.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/object.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 622, 'match': 'attachments/pluggable-widgets-8/widget-property-types/file.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/file.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/file.png'}
OK {'file': 'property-types-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 658, 'match': 'attachments/pluggable-widgets-8/widget-property-types/datasource.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/datasource.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/property-types-pluggable-widgets-8/datasource.png'}
OK {'file': 'stories-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 21, 'match': 'attachments/9535497/19398865.wsdl)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/stories-api/19398865.wsdl)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/stories-api/19398865.wsdl'}
OK {'file': 'studio-apis-for-pluggable-widgets-8.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\pluggable-parent-8\\', 'line No.': 275, 'match': 'attachments/pluggable-widgets-8/selectable-component.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/studio-apis-for-pluggable-widgets-8/selectable-component.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-parent-8/studio-apis-for-pluggable-widgets-8/selectable-component.png'}
OK {'file': 'team-server-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 18, 'match': 'attachments/131076/425989.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/team-server-api/425989.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/team-server-api/425989.png'}
OK {'file': 'creating-the-domain-model.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-howtos\\', 'line No.': 20, 'match': 'attachments/16714173/16844083.png)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-howtos/creating-the-domain-model/16844083.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-howtos/creating-the-domain-model/16844083.png'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 18, 'match': 'attachments/14091498/16842837.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842837.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842837.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 34, 'match': 'attachments/14091498/16842840.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842840.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842840.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 38, 'match': 'attachments/14091498/16842841.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842841.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842841.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 54, 'match': 'attachments/14091498/16842839.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842839.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842839.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 69, 'match': 'attachments/14091498/16842835.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842835.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842835.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 84, 'match': 'attachments/14091498/16842834.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842834.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842834.svg'}
OK {'file': 'domain-model-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 98, 'match': 'attachments/14091498/16842836.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842836.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/domain-model-metamodel/16842836.svg'}
OK {'file': 'generating-code-from-the-model.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-howtos\\', 'line No.': 26, 'match': 'attachments/16056478/16844118.png)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-howtos/generating-code-from-the-model/16844118.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-howtos/generating-code-from-the-model/16844118.png'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 14, 'match': 'attachments/15466739/16842814.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842814.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842814.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 31, 'match': 'attachments/15466739/16842811.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842811.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842811.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 44, 'match': 'attachments/15466739/16842852.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842852.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842852.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 46, 'match': 'attachments/15466739/18582249.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582249.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582249.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 67, 'match': 'attachments/15466739/16842853.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842853.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842853.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 90, 'match': 'attachments/15466739/16842854.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842854.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842854.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 112, 'match': 'attachments/15466739/18582248.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582248.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582248.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 126, 'match': 'attachments/15466739/18582244.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582244.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582244.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 142, 'match': 'attachments/15466739/16842821.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842821.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842821.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 156, 'match': 'attachments/15466739/18582245.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582245.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582245.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 172, 'match': 'attachments/15466739/16842823.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842823.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842823.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 187, 'match': 'attachments/15466739/16842843.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842843.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842843.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 203, 'match': 'attachments/15466739/16842844.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842844.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842844.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 221, 'match': 'attachments/15466739/18582232.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582232.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/18582232.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 237, 'match': 'attachments/15466739/16842842.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842842.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842842.svg'}
OK {'file': 'microflows-metamodel.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\mxsdk\\\\sdk-refguide\\understanding-the-metamodel\\', 'line No.': 252, 'match': 'attachments/15466739/16842846.svg)', 'newInsert': '/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842846.svg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/mxsdk/sdk-refguide/understanding-the-metamodel/microflows-metamodel/16842846.svg'}
