FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'build-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\', 'line No.': 20, 'match': 'attachments/deploy-api/api-model.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/build-api/api-model.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 229, 'match': 'attachments/pluggable-widgets/property-types/enumeration.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/enumeration.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/enumeration.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 257, 'match': 'attachments/pluggable-widgets/property-types/icon.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/icon.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/icon.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 287, 'match': 'attachments/pluggable-widgets/property-types/image.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/image.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/image.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 319, 'match': 'attachments/pluggable-widgets/property-types/widgets.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/widgets.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/widgets.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 334, 'match': 'attachments/pluggable-widgets/property-types/widgets_with_ds.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/widgets_with_ds.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/widgets_with_ds.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 382, 'match': 'attachments/pluggable-widgets/property-types/expression.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/expression.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/expression.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 425, 'match': 'attachments/pluggable-widgets/property-types/text.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/text.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/text.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 456, 'match': 'attachments/pluggable-widgets/property-types/action.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/action.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/action.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 517, 'match': 'attachments/pluggable-widgets/property-types/attribute.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/attribute.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/attribute.png'}
OK {'file': 'pluggable-widgets-property-types.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\apidocs-mxsdk\\apidocs\\\\pluggable-widgets\\', 'line No.': 561, 'match': 'attachments/pluggable-widgets/property-types/object.png)', 'newInsert': '/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/object.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/apidocs-mxsdk/apidocs/pluggable-widgets/pluggable-widgets-property-types/object.png'}
