FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 30, 'match': 'attachments/activities/change-object.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/change-object.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/change-object.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 31, 'match': 'attachments/activities/commit-object.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/commit-object.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/commit-object.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 32, 'match': 'attachments/activities/create-object.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/create-object.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/create-object.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 33, 'match': 'attachments/activities/delete-object.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/delete-object.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/delete-object.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 34, 'match': 'attachments/activities/retrieve.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/retrieve.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/retrieve.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 35, 'match': 'attachments/activities/rollback.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/rollback.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/rollback.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 43, 'match': 'attachments/activities/aggregate-list.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/aggregate-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/aggregate-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 44, 'match': 'attachments/activities/change-list.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/change-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/change-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 45, 'match': 'attachments/activities/create-list.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/create-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/create-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 46, 'match': 'attachments/activities/list-operation.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/list-operation.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/list-operation.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 54, 'match': 'attachments/activities/call-java-action.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/call-java-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/call-java-action.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide8\\modeling\\application-logic\\activities\\', 'line No.': 55, 'match': 'attachments/activities/call-javascript-action.png)', 'newInsert': '/attachments/refguide8/modeling/application-logic/activities/call-javascript-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide8/modeling/application-logic/activities/call-javascript-action.png'}
