FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 44, 'match': 'attachments/translate-your-app-content/order-button.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/order-button.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/order-button.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 46, 'match': 'attachments/translate-your-app-content/home-page-text.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/home-page-text.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/home-page-text.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 62, 'match': 'attachments/translate-your-app-content/language-settings.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/language-settings.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/language-settings.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 74, 'match': 'attachments/translate-your-app-content/change-language.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/change-language.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/change-language.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 88, 'match': 'attachments/translate-your-app-content/home-page-russian.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/home-page-russian.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/home-page-russian.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 104, 'match': 'attachments/translate-your-app-content/batch-translate-languages.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-languages.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-languages.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 110, 'match': 'attachments/translate-your-app-content/batch-translate-myfirstmodule.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-myfirstmodule.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-myfirstmodule.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 114, 'match': 'attachments/translate-your-app-content/batch-translate-initial.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-initial.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-initial.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 116, 'match': 'attachments/translate-your-app-content/batch-translate-cancel-delete-edit.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-cancel-delete-edit.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/batch-translate-cancel-delete-edit.png'}
OK {'file': 'translate-your-app-content.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\howto8\\collaboration-requirements-management\\\\', 'line No.': 119, 'match': 'attachments/translate-your-app-content/product-new-edit-partial-translation.png)', 'newInsert': '/attachments/howto8/collaboration-requirements-management/translate-your-app-content/product-new-edit-partial-translation.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/howto8/collaboration-requirements-management/translate-your-app-content/product-new-edit-partial-translation.png'}
