FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\domain-model-how-to-configure\\', 'line No.': 242, 'match': 'attachments/domain-model-how-to-configure/product-image-and-product-association.png)', 'newInsert': '/attachments/studio-how-to8/domain-model-how-to-configure/product-image-and-product-association.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/domain-model-how-to-configure/product-image-and-product-association.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\domain-model-how-to-configure\\', 'line No.': 261, 'match': 'attachments/domain-model-how-to-configure/domain-model-online-shop.png)', 'newInsert': '/attachments/studio-how-to8/domain-model-how-to-configure/domain-model-online-shop.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/domain-model-how-to-configure/domain-model-online-shop.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 48, 'match': 'attachments/microflows-how-to-configure-decision/new-enumeration-add-item.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-add-item.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-add-item.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 52, 'match': 'attachments/microflows-how-to-configure-decision/new-enumeration-add-item-bronze.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-add-item-bronze.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-add-item-bronze.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 57, 'match': 'attachments/microflows-how-to-configure-decision/new-enumeration-bronze-silver-gold.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-bronze-silver-gold.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/new-enumeration-bronze-silver-gold.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 61, 'match': 'attachments/microflows-how-to-configure-decision/grade-attribute.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/grade-attribute.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/grade-attribute.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 71, 'match': 'attachments/microflows-how-to-configure-decision/microflow-not-set-parameter.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/microflow-not-set-parameter.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/microflow-not-set-parameter.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 77, 'match': 'attachments/microflows-how-to-configure-decision/parameter-properties.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/parameter-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/parameter-properties.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 82, 'match': 'attachments/microflows-how-to-configure-decision/configure-condition-grade.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/configure-condition-grade.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/configure-condition-grade.png'}
OK {'file': 'microflows-how-to-configure-decision-p1.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio-how-to8\\microflows\\microflows-how-to-configure-decision\\', 'line No.': 88, 'match': 'attachments/microflows-how-to-configure-decision/setting-cases.png)', 'newInsert': '/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/setting-cases.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio-how-to8/microflows/microflows-how-to-configure-decision/microflows-how-to-configure-decision-p1/setting-cases.png'}
