FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\ig-one-installation-steps\\', 'line No.': 100, 'match': 'attachments/ig-one-installation-steps/Welcome_Dialog.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-installation-steps/Welcome_Dialog.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-installation-steps/Welcome_Dialog.png'}
OK {'file': 'ig-one-java-security-settings.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\ig-one-prerequisites\\', 'line No.': 19, 'match': 'attachments/ig-one-java-security-settings/Java_Command_Line_Options.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-prerequisites/ig-one-java-security-settings/Java_Command_Line_Options.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-prerequisites/ig-one-java-security-settings/Java_Command_Line_Options.png'}
OK {'file': 'ig-one-uninstall-steps.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\', 'line No.': 15, 'match': 'attachments/ig-one-uninstall-steps/Delete_Module.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_Module.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_Module.png'}
OK {'file': 'ig-one-uninstall-steps.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\', 'line No.': 22, 'match': 'attachments/ig-one-uninstall-steps/Commit.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Commit.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Commit.png'}
OK {'file': 'ig-one-uninstall-steps.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\', 'line No.': 41, 'match': 'attachments/ig-one-uninstall-steps/Delete_Permissions.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_Permissions.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_Permissions.png'}
OK {'file': 'ig-one-uninstall-steps.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\', 'line No.': 49, 'match': 'attachments/ig-one-uninstall-steps/Delete_From_Navigation.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_From_Navigation.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Delete_From_Navigation.png'}
OK {'file': 'ig-one-uninstall-steps.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\ig\\ig-one\\', 'line No.': 57, 'match': 'attachments/ig-one-uninstall-steps/Revert_After_Startup.png)', 'newInsert': '/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Revert_After_Startup.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/ig/ig-one/ig-one-uninstall-steps/Revert_After_Startup.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\rg-apd\\rg-one-apm\\', 'line No.': 62, 'match': 'attachments/rg-one-statistics-tool/Overview.png)', 'newInsert': '/attachments/addons/apd-addon/rg-apd/rg-one-apm/Overview.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/rg-apd/rg-one-apm/Overview.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\rg-apd\\rg-one-apm\\', 'line No.': 70, 'match': 'attachments/rg-one-introduction/Performance_Tool_Tree_View.png)', 'newInsert': '/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Tree_View.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Tree_View.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\rg-apd\\rg-one-apm\\', 'line No.': 74, 'match': 'attachments/rg-one-introduction/Performance_Tool_Browse_Microflow.png)', 'newInsert': '/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Browse_Microflow.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Browse_Microflow.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\rg-apd\\rg-one-apm\\', 'line No.': 78, 'match': 'attachments/rg-one-introduction/Performance_Tool_Browse_Actions.png)', 'newInsert': '/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Browse_Actions.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/rg-apd/rg-one-apm/Performance_Tool_Browse_Actions.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\addons\\apd-addon\\\\rg-apd\\rg-one-apm\\', 'line No.': 92, 'match': 'attachments/rg-one-introduction/Measurements_Tool.png)', 'newInsert': '/attachments/addons/apd-addon/rg-apd/rg-one-apm/Measurements_Tool.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/addons/apd-addon/rg-apd/rg-one-apm/Measurements_Tool.png'}
