FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\checks\\', 'line No.': 13, 'match': 'attachments/checks/checks-button.png)', 'newInsert': '/attachments/studio7/checks/checks-button.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/checks/checks-button.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 71, 'match': 'attachments/consistency-errors-navigation/menu-item-on-click-action.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-navigation/menu-item-on-click-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-navigation/menu-item-on-click-action.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 82, 'match': 'attachments/consistency-errors-navigation/create-object-properties.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-navigation/create-object-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-navigation/create-object-properties.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 93, 'match': 'attachments/consistency-errors-navigation/show-page-properties.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-navigation/show-page-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-navigation/show-page-properties.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 98, 'match': 'attachments/consistency-errors-navigation/open-page-microflow.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-navigation/open-page-microflow.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-navigation/open-page-microflow.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 20, 'match': 'attachments/consistency-errors-pages/list-view-error.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/list-view-error.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/list-view-error.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 34, 'match': 'attachments/consistency-errors-pages/data-view-error.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/data-view-error.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/data-view-error.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 62, 'match': 'attachments/consistency-errors-pages/customers-page.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/customers-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/customers-page.png'}
RP {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 66, 'match': 'attachments/consistency-errors-pages/data-view-customer.png)'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 71, 'match': 'attachments/consistency-errors-pages/object-error.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/object-error.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/object-error.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 86, 'match': 'attachments/consistency-errors-pages/list-view-content.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/list-view-content.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/list-view-content.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 100, 'match': 'attachments/consistency-errors-pages/create-object-option-enabled.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/create-object-option-enabled.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/create-object-option-enabled.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 115, 'match': 'attachments/consistency-errors-pages/engineers-page.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/engineers-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/engineers-page.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 124, 'match': 'attachments/consistency-errors-pages/tasks-page-list-view.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/tasks-page-list-view.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/tasks-page-list-view.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 144, 'match': 'attachments/consistency-errors-pages/dynamic-image-properties.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/dynamic-image-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/dynamic-image-properties.png'}
OK {'file': 'consistency-errors-pages.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 161, 'match': 'attachments/consistency-errors-pages/on-click-action-error.png)', 'newInsert': '/attachments/studio7/consistency-errors/consistency-errors-pages/on-click-action-error.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/consistency-errors-pages/on-click-action-error.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\consistency-errors\\', 'line No.': 16, 'match': 'attachments/consistency-errors/data-view-no-entity.png)', 'newInsert': '/attachments/studio7/consistency-errors/data-view-no-entity.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/consistency-errors/data-view-no-entity.png'}
OK {'file': 'domain-models-association-properties.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 22, 'match': 'attachments/domain-models-association-properties/association-properties.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-association-properties/association-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-association-properties/association-properties.png'}
OK {'file': 'domain-models-association-properties.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 46, 'match': 'attachments/domain-models-association-properties/association-domainmodel.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-association-properties/association-domainmodel.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-association-properties/association-domainmodel.png'}
OK {'file': 'domain-models-association-properties.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 78, 'match': 'attachments/domain-models-association-properties/association-icon.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-association-properties/association-icon.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-association-properties/association-icon.png'}
OK {'file': 'domain-models-association-properties.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 82, 'match': 'attachments/domain-models-association-properties/association-pop-up.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-association-properties/association-pop-up.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-association-properties/association-pop-up.png'}
OK {'file': 'domain-models-enumeration.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 37, 'match': 'attachments/domain-models-enumeration/new-enumeration-add-item.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-add-item.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-add-item.png'}
OK {'file': 'domain-models-enumeration.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 41, 'match': 'attachments/domain-models-enumeration/new-enumeration-add-item-bronze.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-add-item-bronze.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-add-item-bronze.png'}
OK {'file': 'domain-models-enumeration.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 46, 'match': 'attachments/domain-models-enumeration/new-enumeration-bronze-silver-gold.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-bronze-silver-gold.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-enumeration/new-enumeration-bronze-silver-gold.png'}
OK {'file': 'domain-models-enumeration.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 64, 'match': 'attachments/domain-models-enumeration/new-attribute-select-enumeration.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-enumeration/new-attribute-select-enumeration.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-enumeration/new-attribute-select-enumeration.png'}
OK {'file': 'domain-models-enumeration.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 68, 'match': 'attachments/domain-models-enumeration/selecting-existing-enumeration.png)', 'newInsert': '/attachments/studio7/domain-models/domain-models-enumeration/selecting-existing-enumeration.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-models-enumeration/selecting-existing-enumeration.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 33, 'match': 'attachments/domain-models/domain-model.png)', 'newInsert': '/attachments/studio7/domain-models/domain-model.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-model.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 38, 'match': 'attachments/domain-models/domain-overview.png)', 'newInsert': '/attachments/studio7/domain-models/domain-overview.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/domain-overview.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio7\\domain-models\\', 'line No.': 62, 'match': 'attachments/domain-models/toolbox-entity.png)', 'newInsert': '/attachments/studio7/domain-models/toolbox-entity.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio7/domain-models/toolbox-entity.png'}
