FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\', 'line No.': 14, 'match': 'attachments/checks/passed-check.jpg)', 'newInsert': '/attachments/studio/checks/passed-check.jpg)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/passed-check.jpg'}
OK {'file': 'consistency-errors-domain-model.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 49, 'match': 'attachments/consistency-errors-domain-model/delete-behavior-error-example2.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-domain-model/delete-behavior-error-example2.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-domain-model/delete-behavior-error-example2.png'}
OK {'file': 'consistency-errors-domain-model.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 53, 'match': 'attachments/consistency-errors-domain-model/delete-behavior-error-example3.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-domain-model/delete-behavior-error-example3.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-domain-model/delete-behavior-error-example3.png'}
OK {'file': 'consistency-errors-microflows.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 18, 'match': 'attachments/consistency-errors-microflows/microflow-error-example.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-microflows/microflow-error-example.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-microflows/microflow-error-example.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 43, 'match': 'attachments/consistency-errors-navigation/page-expects-an-object-error.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/page-expects-an-object-error.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/page-expects-an-object-error.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 55, 'match': 'attachments/consistency-errors-navigation/menu-item-properties.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/menu-item-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/menu-item-properties.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 66, 'match': 'attachments/consistency-errors-navigation/home-page.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/home-page.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/home-page.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 70, 'match': 'attachments/consistency-errors-pages/data-view-customer.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/data-view-customer.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/data-view-customer.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 83, 'match': 'attachments/consistency-errors-navigation/menu-item-on-click-action.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/menu-item-on-click-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/menu-item-on-click-action.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 94, 'match': 'attachments/consistency-errors-navigation/create-object-properties.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/create-object-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/create-object-properties.png'}
OK {'file': 'consistency-errors-navigation.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\studio\\checks\\consistency-errors\\', 'line No.': 105, 'match': 'attachments/consistency-errors-navigation/show-page-properties.png)', 'newInsert': '/attachments/studio/checks/consistency-errors/consistency-errors-navigation/show-page-properties.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/studio/checks/consistency-errors/consistency-errors-navigation/show-page-properties.png'}
