FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': 'access-rules.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\domain-model\\entities\\', 'line No.': 24, 'match': 'attachments/access-rules/dm-access-rules-section.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/domain-model/entities/access-rules/dm-access-rules-section.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/domain-model/entities/access-rules/dm-access-rules-section.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 22, 'match': 'attachments/819203/917866.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/917866.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/917866.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 23, 'match': 'attachments/819203/918119.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918119.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918119.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 31, 'match': 'attachments/819203/918028.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918028.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918028.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 32, 'match': 'attachments/819203/918007.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918007.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918007.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 33, 'match': 'attachments/819203/918009.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918009.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918009.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 34, 'match': 'attachments/819203/917792.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/917792.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/917792.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 42, 'match': 'attachments/819203/918018.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918018.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918018.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 43, 'match': 'attachments/819203/918001.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918001.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918001.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 51, 'match': 'attachments/819203/918011.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918011.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918011.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 52, 'match': 'attachments/819203/918110.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918110.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918110.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide7\\desktop-modeler\\application-logic\\common-elements\\activities\\', 'line No.': 60, 'match': 'attachments/819203/918114.png)', 'newInsert': '/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918114.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide7/desktop-modeler/application-logic/common-elements/activities/918114.png'}
