FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 30, 'match': 'attachments/activities/retrieve.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/retrieve.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/retrieve.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 31, 'match': 'attachments/activities/rollback.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/rollback.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/rollback.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 39, 'match': 'attachments/activities/aggregate-list.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/aggregate-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/aggregate-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 40, 'match': 'attachments/activities/change-list.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/change-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/change-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 41, 'match': 'attachments/activities/create-list.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/create-list.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/create-list.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 42, 'match': 'attachments/activities/list-operation.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/list-operation.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/list-operation.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 50, 'match': 'attachments/activities/call-java-action.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-java-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-java-action.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 51, 'match': 'attachments/activities/call-javascript-action.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-javascript-action.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-javascript-action.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 52, 'match': 'attachments/activities/call-microflow.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-microflow.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/call-microflow.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\mnt.MENDIXDOMAIN\\Documents\\DocsMendixCom\\content\\en\\docs\\refguide\\modeling\\application-logic\\microflows-and-nanoflows\\activities\\', 'line No.': 60, 'match': 'attachments/activities/change-variable.png)', 'newInsert': '/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/change-variable.png)', 'newPath': 'C:/Users/mnt.MENDIXDOMAIN/Documents/DocsMendixCom/static/attachments/refguide/modeling/application-logic/microflows-and-nanoflows/activities/change-variable.png'}
